interpret_hlavni,id,stazeno,nazev_wiki,popis_en,popis_cs,velikost,zanry,datum_narozeni,datum_umrti,zacatek_pusobeni,konec_pusobeni,zalozeni,zanik,gender,misto_puvodu,zeme_puvodu,obcanstvi,etnicita,hlas,nastroje,oceneni,nabozenstvi,orientace,spotify_id,spotify_odberatele
Marina And The Diamonds,Q234174,True,Marina Diamandis,British singer,velšská zpěvačka a skladatelka,člověk,"['indie pop', 'nová vlna', 'synthpop', 'dance-pop']",+1985-10-10T00:00:00Z,,+2005-00-00T00:00:00Z,,,,žena,Brynmawr,Spojené království,['Spojené království'],['Řekové'],['mezzosoprán'],['hlas'],['MTV Europe Music Award for Best UK & Ireland Act'],,,6CwfuxIqcltXDGjfZsMd9A,
Marc Benjamin,Q21880688,True,Marc Benjamin,Swiss actor,,člověk,,+1986-04-15T00:00:00Z,,,,,,muž,Basilej,Švýcarsko,['Švýcarsko'],,,,,,,,
Marc E. Bassy,Q26435713,True,Marc E. Bassy,American singer and songwriter,,člověk,,+1987-04-09T00:00:00Z,,+2007-00-00T00:00:00Z,,,,muž,San Francisco,Spojené státy americké,['Spojené státy americké'],,,,,,,3tQx1LPXbsYjE9VwN1Peaa,
Marcus Revolta,Q23644798,True,Marek Kaleta,Czech rapper,český rapper,člověk,,+1989-07-02T00:00:00Z,,,,,,muž,Krnov,Česko,['Česko'],,,['hlas'],,,,,
Jaroslav Uhlíř,Q12024097,True,Jaroslav Uhlíř,Czech composer and pianist,český klavírista a hudební skladatel,člověk,['populární hudba'],+1945-09-14T00:00:00Z,,,,,,muž,Praha,Česko,"['Československo', 'Česko']",,,['klavír'],,,,,
Jaroslav Svěcený,Q12024082,True,Jaroslav Svěcený,Czech violinist,český houslista,člověk,,+1960-12-08T00:00:00Z,,,,,,muž,Hradec Králové,Česko,['Česko'],,,['housle'],,,,,
Marilyn Manson,Q485893,True,Marilyn Manson,American rock band,americká hudební skupina,rocková hudební skupina,"['industriální metal', 'shock rock']",,,+1989-00-00T00:00:00Z,,+1989-00-00T00:00:00Z,,,Florida,Spojené státy americké,,,,,,,,2VYQTNDsvvKN9wmU5W7xpj,
Jana Kratochvílová,Q12023431,True,Jana Kratochvílová,Czech singer,česká zpěvačka,člověk,,+1953-01-14T00:00:00Z,,,,,,žena,Zlín,Česko,['Česko'],,,['hlas'],,,,,
Jain,Q21405456,True,Jain,"French recording artist, singer",francouzská zpěvačka,člověk,"['pop music', 'reggae', 'electro', 'world music']",+1992-02-07T00:00:00Z,,+2013-00-00T00:00:00Z,,,,žena,Toulouse,Francie,['Francie'],,,"['kytara', 'hlas', 'bicí souprava']",['Victoires de la Musique – Female artist of the year'],,,2HHmvvSQ44ePDH7IKVzgK0,
Jana Boušková,Q12023397,True,Jana Boušková,Czech actress,česká herečka a dabérka,člověk,,+1954-05-08T00:00:00Z,,,,,,žena,Kladno,Česko,['Československo'],,,,,,,,
Jan Spálený,Q12023116,True,Jan Spálený,"Czech musician, frontman of ASPM","český multiinstrumentalista, skladatel a textař, frontman skupiny ASPM",člověk,,+1942-12-04T00:00:00Z,,,,,,muž,Praha,Česko,['Česko'],,,['klavír'],,,,,
Jan Smigmator,Q15124031,True,Jan Smigmator,Czech singer,český zpěvák,člověk,,+1986-01-17T00:00:00Z,,,,,,muž,Jihlava,Česko,['Česko'],,,['hlas'],,,,,
James Newton Howard,Q213869,True,James Newton Howard,American composer and music producer (born 1951),americký klavírista a skladatel,člověk,"['free jazz', 'filmová hudba']",+1951-06-09T00:00:00Z,,+1975-00-00T00:00:00Z,,,,muž,Los Angeles,Spojené státy americké,['Spojené státy americké'],,,"['klavír', 'flétna', 'kytara']","['Cena Emmy', 'Cena Grammy za nejlepší soundrack', 'Ocenění Cena Emmy Nejlepší titulní skladba', 'Grammy Award', 'Primetime Emmy Award']",,,2M4eNCvV3CJUswavkhAQg2,
James Newman,Q55614888,True,James Newman,British singer-songwriter,,člověk,"['pop music', 'elektropop']",+1985-10-19T00:00:00Z,,+2013-00-00T00:00:00Z,,,,muž,Settle,Spojené království,['Spojené království'],,,['kytara'],,,,4iaTgZRy5aVnImDyRJn61n,
James Hype,Q47472388,True,James Hype,English DJ and record producer,,člověk,,+1989-11-00T00:00:00Z,,+2016-00-00T00:00:00Z,,,,muž,Liverpool,Spojené království,['Spojené království'],,,,,,,43BxCL6t4c73BQnIJtry5v,
Marsyas,Q599737,True,Marsyas,satyr musician in Greek mythology,satyr z řecké mytologie,Satyr,,,,,,,,muž,,,,,,,,,,,
Inxs,Q489801,True,INXS,Australian rock band,australská hudební skupina,hudební skupina,"['alternativní rock', 'nová vlna', 'rock']",,,+1977-00-00T00:00:00Z,,+1977-00-00T00:00:00Z,,,Sydney,Austrálie,,,,,,,,1eClJfHLoDI4rZe5HxzBFv,
Manu Chao,Q207898,True,Manu Chao,"French-Spanish singer, guitarist and record producer",francouzský latinsko-folkový zpěvák španělského původu,člověk,"['reggae', 'ska', 'world music', 'latinskoamerická hudba']",+1961-06-21T00:00:00Z,,+1980-00-00T00:00:00Z,,,,muž,Paříž,Francie,"['Francie', 'Španělsko']",,,"['kytara', 'hlas', 'klavír']",['Latin Grammy Award for Best Alternative Song'],,,6wH6iStAh4KIaWfuhf0NYM,
Hradišťan,Q12020603,True,Hradišťan,Czech musical ensemble,hudební skupina,hudební skupina,"['lidová hudba', 'folk']",,,,,+1950-00-00T00:00:00Z,,,Uherské Hradiště,Česko,,,,,,,,,
Hot Chelle Rae,Q610047,True,Hot Chelle Rae,American band,,hudební skupina,['pop rock'],,,+2005-00-00T00:00:00Z,,+2005-00-00T00:00:00Z,,,Nashville,Spojené státy americké,,,,,['American Music Award for New Artist of the Year'],,,6jTnHxhb6cDCaCu4rdvsQ0,
Hosh,Q1630361,True,Hosh,band,,hudební skupina,,,,,,,,,,,,,,,,,,,
Hoodie Allen,Q39224,True,Hoodie Allen,"American rapper, singer and songwriter from New York",,člověk,['hip hop'],+1988-08-19T00:00:00Z,,+2009-00-00T00:00:00Z,,,,muž,Plainview,Spojené státy americké,['Spojené státy americké'],,,['hlas'],,,,382aq8Pij5V2nE2JMHMoxl,
Holki,Q12020002,True,Holki,Czech musical group,česká hudební skupina,hudební skupina,,,,,,+1999-00-00T00:00:00Z,,,,,,,,,,,,,
Miloš Dodo Doležal,Q12037543,True,Miloš Dodo Doležal,"Czech composer, guitarist and singer","český hudební skladatel, kytarista a zpěvák",člověk,,+1966-08-12T00:00:00Z,,,,,,muž,Karviná,Česko,['Česko'],,,,,,,,
Miroslav Paleček,Q12037947,True,Miroslav Paleček,Czech singer,český zpěvák,člověk,,+1945-11-12T00:00:00Z,,,,,,muž,Kladno,Česko,,,,['hlas'],,,,,
Mkto,Q3273045,True,MKTO,American musical duo,,hudební duo,['pop music'],,,+2010-00-00T00:00:00Z,,+2010-00-00T00:00:00Z,,,Los Angeles,Spojené státy americké,,,,,,,,2l35CQqtYRh3d8ZIiBep4v,
Helloween,Q158895,True,Helloween,German power metal band,hudební skupina,heavy metal band,['power metal'],,,+1984-00-00T00:00:00Z,,+1984-00-00T00:00:00Z,,,Hamburk,Německo,,,,,,,,4pQN0GB0fNEEOfQCaWotsY,
Hudba Praha,Q12020872,True,Hudba Praha,Czech rock band,pražská rocková skupina,hudební skupina,,,,,,,,,,,,,,,,,,,
Incubus,Q1661036,True,Incubus,American rock band,hudební skupina,hudební skupina,"['alternativní rock', 'funk metal']",,,+1991-00-00T00:00:00Z,,+1991-00-00T00:00:00Z,,,Calabasas,Spojené státy americké,,,,,,,,3YcBF2ttyueytpXtEzn1Za,
Indila,Q6024866,True,Indila,French singer and songwriter,francouzská zpěvačka a skladatelka,člověk,"['raï', 'rhythm and blues', 'pop music', 'folk pop']",+1984-06-26T00:00:00Z,,,,,,žena,Paříž,Francie,['Francie'],,['С'],['hlas'],,,,0FEJqmeLRzsXj8hgcZaAyB,
Melanie Thornton,Q235243,True,Melanie Thornton,American singer (1967–2001),americká zpěvačka,člověk,"['pop music', 'house music']",+1967-05-13T00:00:00Z,+2001-11-24T00:00:00Z,+1992-00-00T00:00:00Z,+2001-00-00T00:00:00Z,,,žena,Charleston,Spojené státy americké,['Spojené státy americké'],,['alt'],['hlas'],,,,2apYMRrg5FxN4go0pfsCvf,
Ilona Csáková,Q4181301,True,Ilona Csáková,Czech singer,česká zpěvačka,člověk,,+1970-10-01T00:00:00Z,,+1993-00-00T00:00:00Z,,,,žena,Cheb,Česko,['Česko'],,,['hlas'],,,,,
Iggy Pop,Q182665,True,Iggy Pop,American singer,americký zpěvák,člověk,"['rock', 'hard rock', 'protopunk', 'garage rock', 'punk rock', 'glam rock', 'post-punk', 'alternativní rock']",+1947-04-21T00:00:00Z,,+1965-00-00T00:00:00Z,,,,muž,Muskegon,Spojené státy americké,['Spojené státy americké'],,['baryton'],"['kytara', 'bicí nástroje', 'akustická kytara', 'klávesový nástroj', 'hlas']","['rytíř Řádu umění a literatury', 'komandér  Řádu umění a literatury', 'důstojník Řádu umění a literatury', 'Polar Music Prize']",,,33EUXrFKGjpUSGacqEHhU4,
Michael Kevin,Q672357,True,Michael Paré,American actor,,člověk,,+1958-10-09T00:00:00Z,,+1981-00-00T00:00:00Z,,,,muž,Brooklyn,Spojené státy americké,['Spojené státy americké'],,,,,,,,
I.M.T. Smile,Q12021379,True,IMT Smile,Slovakian musical group,hudební skupina,hudební skupina,['rock'],,,+1992-00-00T00:00:00Z,,,,,Prešov,Slovensko,,,,,,,,,
Michal Pavlíček,Q2662052,True,Michal Pavlíček,"Czech composer, jazz musician and guitarist","český hudební skladatel, jazzový hudebník a kytarista",člověk,['rock'],+1956-02-14T00:00:00Z,,+1978-00-00T00:00:00Z,,,,muž,Praha,Česko,['Česko'],,,"['kytara', 'hlas']",,,,,
Jawsh 685,Q96472235,True,Jawsh 685,New Zealand music producer,,člověk,['pop music'],+2002-11-05T00:00:00Z,,+2020-00-00T00:00:00Z,,,,muž,Auckland,Nový Zéland,['Nový Zéland'],,,,,,,56mfhUDKa1vec6rSLZV5Eg,
Lil Jon,Q294449,True,Lil Jon,American rapper and record producer (born 1971),americký raper,člověk,"['hip hop', 'Crunk', 'Southern hip hop', 'hardcore hip hop', 'Gangsta rap', 'dirty rap', 'trap', 'snap music', 'dirty south', 'Atlanta hip hop']",+1971-01-17T00:00:00Z,,+1991-00-00T00:00:00Z,,,,muž,Atlanta,Spojené státy americké,['Spojené státy americké'],,,['hlas'],,,,7sfl4Xt5KmfyDs2T3SVSMK,
Katapult,Q1459279,True,Katapult,Czechoslovakian band,hudební skupina,hudební skupina,['hard rock'],,,,,+1975-00-00T00:00:00Z,,,Plzeň,Česko,,,,,,,,,
Lil Pump,Q38002101,True,Lil Pump,American rapper,americký rapper,člověk,"['hip hop', 'trap', 'SoundCloud rap', 'punk rap']",+2000-08-17T00:00:00Z,,+2015-00-00T00:00:00Z,,,,muž,Miami,Spojené státy americké,['Spojené státy americké'],['Kolumbijští Američané'],,['hlas'],,,,3wyVrVrFCkukjdVIdirGVY,
Kat De Luna,Q230514,True,Kat DeLuna,American singer,popová zpěvačka,člověk,['rhythm and blues'],+1987-11-26T00:00:00Z,,+2006-00-00T00:00:00Z,,,,žena,Victoria,Kanada,['Spojené státy americké'],,['soprán'],['hlas'],,,,0bOlhT8OcoC1lCpN69NcFP,
Karolína Krézlová,Q93367778,True,Karolína Krézlová,Czech actress and model,česká modelka a herečka,člověk,,+1987-05-27T00:00:00Z,,,,,,žena,Aš,Česko,['Česko'],,,,,,,,
Karmin,Q1167969,True,Karmin,American musical group; pop duo,,hudební skupina,"['pop music', 'hip hop']",,,+2010-00-00T00:00:00Z,,+2010-01-01T00:00:00Z,,,Boston,Spojené státy americké,,,,,,,,4M0DLz8te9Q1lNIXBBwvfG,
Karelll,Q81805754,True,Karelll,Czech singer-songwriter,"český hudebník, zpěvák a skladatel",člověk,,+1993-02-13T00:00:00Z,,,,,,muž,České Budějovice,Česko,['Česko'],,,,,,,,
Karel Zich,Q3562802,True,Karel Zich,"Czech singer, guitarist and composer (1949-2004)","český zpěvák, kytarista a hudební skladatel",člověk,,+1949-06-10T00:00:00Z,+2004-07-13T00:00:00Z,+1964-00-00T00:00:00Z,,,,muž,Praha,Česko,['Česko'],,['tenor'],"['kytara', 'hlas']",,,,,
Karel Plíhal,Q2476370,True,Karel Plíhal,Czech guitarist and singer,český kytarista a zpěvák,člověk,['jazz'],+1958-08-23T00:00:00Z,,+1983-00-00T00:00:00Z,,,,muž,Přerov,Česko,"['Česko', 'Československo']",,,"['kytara', 'hlas']","['Anděl', 'Cena města Olomouce']",,,,
Katy B,Q120527,True,Katy B,British singer-songwriter,britská zpěvačka,člověk,"['dubstep', 'UK funky', 'contemporary R&B', 'electronica', 'UK Garage', 'breakstep']",+1989-05-08T00:00:00Z,,+2007-00-00T00:00:00Z,,,,žena,Peckham,Spojené království,['Spojené království'],,['soprán'],['hlas'],,,,5EUdiv20t58GCS09VMKk7M,
Kenny Rogers,Q217160,True,Kenny Rogers,American country singer and songwriter (1938–2020),"americký zpěvák, kytarista, klavírista, fotograf, herec a producent",člověk,"['country', 'country pop', 'pop music', 'adult contemporary', 'soft rock', 'rock', 'estráda']",+1938-08-21T00:00:00Z,+2020-03-20T00:00:00Z,+1958-00-00T00:00:00Z,+2020-00-00T00:00:00Z,,,muž,Houston,Spojené státy americké,['Spojené státy americké'],,['baryton'],"['basová kytara', 'kytara', 'harmonika', 'housle', 'hlas']","['Grammy Award for Best Male Country Vocal Performance', 'Favorite Country Single', 'American Music Award for Favorite Country Album', 'Favorite Country Male Artist', 'Grammy Award for Best Male Country Vocal Performance', 'American Music Award for Favorite Country Album', 'Favorite Country Male Artist', 'Favorite Country Single', 'American Music Award for Favorite Country Album', 'Favorite Country Male Artist', 'Favorite Pop/Rock Male Artist', 'American Music Award for Favorite Pop/Rock Album', 'American Music Award for Favorite Country Album', 'Favorite Pop/Rock Male Artist', ""People's Choice Award for Favorite Country Artist"", 'Favorite Country Single', 'Favorite Country Male Artist', 'American Music Award of Merit', ""People's Choice Award for Favorite Country Artist"", ""People's Choice Award for Favorite Country Artist"", 'Favorite Country Single', 'American Music Award for Favorite Country Album', 'Favorite Country Male Artist', ""People's Choice Award for Favorite Country Artist"", ""People's Choice Award for Favorite Country Artist"", 'Cena Grammy za nejlepší spolupráci se zpěvem v country stylu', ""People's Choice Award for Favorite Country Artist"", ""People's Choice Award for Favorite Country Artist"", 'Willie Nelson Lifetime Achievement Award', 'Horatio Alger Award', 'Hvězda na Hollywoodském chodníku slávy', 'Country Music Hall of Fame and Museum']",['křesťanství'],,4tw2Lmn9tTPUv7Gy7mVPI4,
Korn,Q80304,True,Korn,American nu metal band,americká metalová skupina,hudební skupina,"['nu metal', 'alternativní metal']",,,+1993-00-00T00:00:00Z,,+1993-00-00T00:00:00Z,,,Bakersfield,Spojené státy americké,,,,,,,,3RNrq3jvMZxD9ZyoOZbQOD,
Kollerband,Q107025035,True,Kollerband,Czech music band,,hudební skupina,,,,+2004-00-00T00:00:00Z,+2005-00-00T00:00:00Z,+2002-00-00T00:00:00Z,,,,,,,,,,,,,
Leony,Q97483637,True,Leony,German pop singer,,člověk,['pop music'],+1997-06-25T00:00:00Z,,,,,,žena,Chammünster,Německo,['Německo'],,,,,,,2NpPlwwDVYR5dIj0F31EcC,
Klára Kolomazníková,Q12029491,True,Klára Kolomazníková,Czech singer,česká zpěvačka,člověk,,+1979-10-12T00:00:00Z,,,,,,žena,Praha,Česko,,,,['hlas'],,,,,
Lauren Jauregui,Q18921974,True,Lauren Jauregui,American singer,americká zpěvačka,člověk,"['pop music', 'contemporary R&B']",+1996-06-27T00:00:00Z,,+2012-00-00T00:00:00Z,,,,žena,Miami,Spojené státy americké,['Spojené státy americké'],,,['hlas'],,,['bisexualita'],3J0BpFVUc9LeOIVeN5uNhU,
Lauren Spencer-Smith,Q110630787,True,Lauren Spencer-Smith,Canadian singer and songwriter,,člověk,['pop music'],+2003-09-28T00:00:00Z,,,,,,žena,Portsmouth,Spojené království,['Kanada'],,,,,,,79AyR6ATpj2LTPxfb6FX50,
Kid Rock,Q158175,True,Kid Rock,American musician (born 1971),americký zpěvák a skladatel,člověk,"['rock', 'Rapcore', 'hard rock', 'rap metal', 'klasický heavy metal', 'jižanský rock', 'country rock', 'blues rock']",+1971-01-17T00:00:00Z,,+1988-00-00T00:00:00Z,,,,muž,Romeo,Spojené státy americké,['Spojené státy americké'],,,"['kytara', 'hlas']","['WWE Hall of Fame', 'Cena Echo Pop za hit roku']",,,7dOBabd5O4CvKrg4iriHTM,
Listenbee,Q166796,True,GoonRock,American musician,,člověk,"['hip hop', 'taneční hudba', 'pop music', 'elektronická taneční hudba']",+1975-04-18T00:00:00Z,,+2009-00-00T00:00:00Z,,,,muž,Princeton,Spojené státy americké,['Spojené státy americké'],,,"['klavír', 'hlas']",,,,53sIBaVjXQhfH89Vu6nEGh,
Manian,Q61415,True,DJ Manian,"German music producer, DJ, and label owner",německý hudebník,člověk,"['eurodance', 'Euro-Trance', 'happy hardcore']",+1978-07-07T00:00:00Z,,+2007-00-00T00:00:00Z,,,,muž,Bonn,Německo,['Německo'],,,,,,,,
Joe Cocker,Q190076,True,Joe Cocker,English musician (1944–2014),anglický hudebník (1944–⁠2014),člověk,"['blues', 'rock']",+1944-05-20T00:00:00Z,+2014-12-22T00:00:00Z,+1960-00-00T00:00:00Z,+2014-00-00T00:00:00Z,,,muž,Sheffield,Spojené království,['Spojené království'],,['baryton'],"['klavír', 'hlas', 'harmonika']",['důstojník Řádu britského impéria'],,,3pFCERyEiP5xeN2EsPXhjI,
Jodie Harsh,Q6207970,True,Jodie Harsh,British DJ,,člověk,,+1985-01-01T00:00:00Z,,,,,,muž,,,['Spojené království'],,,,,,,,
Mac Miller,Q324726,True,Mac Miller,American rapper and record producer (1992–2018),americký rapper,člověk,"['hip hop', 'contemporary R&B', 'jazz rap', 'pop rap', 'pop music', 'alternativní hip-hop']",+1992-01-19T00:00:00Z,+2018-09-07T00:00:00Z,+2007-00-00T00:00:00Z,+2018-00-00T00:00:00Z,,,muž,Pittsburgh,Spojené státy americké,['Spojené státy americké'],,,"['hlas', 'bicí souprava', 'kytara', 'klavír']",,['judaismus'],,4LLpKhyESsyAXpc4laK94U,
Jiří Suchý,Q4177305,True,Jiří Suchý,"Czech poet, theater manager, playwright, film director, actor, composer, comedian, writer, artist and singer","český básník, divadelní ředitel, dramatik, filmový režisér, herec, hudební skladatel, humorista, komik, spisovatel, výtvarník a zpěvák",člověk,,+1931-10-01T00:00:00Z,,,,,,muž,Plzeň,Česko,"['Česko', 'Československo']",,,,"['Řád Tomáše Garrigua Masaryka I. třídy', 'medaile Za zásluhy', 'Dvorana slávy Plzeňského kraje', 'čestný doktor', 'Čestné občanství města Plzně', 'Čestné občanství hlavního města Prahy', 'Čestné občanství města Klatovy', 'Čestné občanství Prahy 6', 'Stříbrná medaile předsedy Senátu', 'čestný doktorát Univerzity Palackého', 'Cena ministerstva kultury za přínos v oblasti divadla']",,,,
Jiří Korn,Q349116,True,Jiří Korn,Czech musician and actor,"český muzikálový a popový zpěvák, kytarista, baskytarista, tanečník, moderátor a herec",člověk,,+1949-05-17T00:00:00Z,,+1967-00-00T00:00:00Z,,,,muž,Praha,Česko,['Česko'],,,['hlas'],,,,,
Jethro Tull,Q192353,True,Jethro Tull,British rock band,britská rocková skupina,rocková hudební skupina,"['progresivní rock', 'psychedelický rock', 'folk rock', 'art rock', 'hard rock', 'synth rock', 'elektronická hudba']",,,+1967-00-00T00:00:00Z,,+1967-12-01T00:00:00Z,,,Luton,Spojené království,,,,['ARP Odyssey'],,,,6w6z8m4WXX7Tub4Rb6Lu7R,
Jeremih,Q472891,True,Jeremih,American R&B singer,americký zpěvák,člověk,['contemporary R&B'],+1987-07-17T00:00:00Z,,+2008-00-00T00:00:00Z,,,,muž,Chicago,Spojené státy americké,['Spojené státy americké'],,,"['bicí souprava', 'hlas']",,,,3KV3p5EY4AvKxOlhGHORLg,
Luude,Q110517126,True,Luude,Australian music producer and artist,,člověk,,,,,,,,muž,Tasmánie,Austrálie,['Austrálie'],,,,,,,,
K'Naan,Q297693,True,K’naan Warsame,Somali-Canadian musician,somálsko-kanadský rapper a instrumentalista,člověk,['rap'],+1978-05-30T00:00:00Z,,+2000-00-00T00:00:00Z,,,,muž,Mogadišo,Somálsko,"['Kanada', 'Somálsko']",,,"['kytara', 'hlas']",,['sunnitský islám'],,,
Justin Wellington,Q107183445,True,Justin Wellington,Papuan singer,,člověk,,+1978-00-00T00:00:00Z,,+2002-00-00T00:00:00Z,,,,muž,Lae,Papua Nová Guinea,['Papua Nová Guinea'],,,,,,,5lTjv8Ag00qHSGhvK4JbeF,
Junior Caldera,Q2635908,True,Junior Caldera,French DJ,,člověk,['house music'],+1953-01-01T00:00:00Z,,+2002-00-00T00:00:00Z,,,,muž,Paříž,Francie,['Francie'],,,,,,,,
Jung Kook,Q22338877,True,Jungkook,South Korean singer,jihokorejský zpěvák a skladatel,člověk,['K-pop'],+1997-09-01T00:00:00Z,,+2013-00-00T00:00:00Z,,,,muž,Pusan,Jižní Korea,['Jižní Korea'],,['tenor'],"['hlas', 'vokální hudba']",,,,2ltstY9ASRfWlHjnnLhF93,
Loud Luxury,Q48697885,True,Loud Luxury,Canadian musical duo,,hudební duo,['elektronická taneční hudba'],,,+2012-00-00T00:00:00Z,,+2012-00-00T00:00:00Z,,,London,Kanada,,,,,['Juno Award for Group of the Year'],,,6t1gpxYbY8OlLA7D2RiikQ,
Luboš Pospíšil,Q12034136,True,Luboš Pospíšil,Czech musician,český hudebník,člověk,['rock'],+1950-09-06T00:00:00Z,,+1970-00-00T00:00:00Z,,,,muž,Jeseník,Česko,['Česko'],,,"['kytara', 'hlas']",,,,,
Jp Saxe,Q86009464,True,JP Saxe,Canadian musician and singer,,člověk,['pop music'],+1994-03-23T00:00:00Z,,+2012-00-00T00:00:00Z,,,,muž,Toronto,Kanada,['Kanada'],,,,['Cena Juno pro skokana roku'],,,66W9LaWS0DPdL7Sz8iYGYe,
Jordan Haj,Q65943308,True,Jordan Haj,Czech musician and actor,český herec a muzikant,člověk,,+1988-10-01T00:00:00Z,,,,,,muž,Praha,Česko,['Česko'],,,,,,,,
Jon Bellion,Q18044284,True,Jon Bellion,"American singer, rapper, songwriter, and record producer",americký hudebník a skladatel,člověk,"['pop music', 'hip hop', 'rhythm and blues', 'soul']",+1990-12-26T00:00:00Z,,+2011-00-00T00:00:00Z,,,,muž,Long Island,Spojené státy americké,['Spojené státy americké'],,,['hlas'],,,,50JJSqHUf2RQ9xsHs0KMHg,
Jojo,Q215219,True,JoJo,American singer and actress,americká zpěvačka,člověk,"['pop music', 'contemporary R&B', 'hip hop', 'soul']",+1990-12-20T00:00:00Z,,+1998-00-00T00:00:00Z,,,,žena,Brattleboro,Spojené státy americké,['Spojené státy americké'],,['mezzosoprán'],['hlas'],,,,5xuNBZoM7z1Vv8IQ6uM0p6,
Hard-Fi,Q1123510,True,Hard-Fi,Music band,hudební skupina,hudební skupina,['alternativní rock'],,,+2003-00-00T00:00:00Z,,+2003-00-00T00:00:00Z,,,Staines-upon-Thames,Spojené království,,,,,,,,14Gi3Uph96lpNB3utkoVAD,
Escape The Fate,Q991278,True,Escape the Fate,American rock band,rocková kapela,hudební skupina,"['post-hardcore', 'hard rock', 'metalcore', 'screamo', 'Emo']",,,+2004-00-00T00:00:00Z,,+2005-00-00T00:00:00Z,,,Las Vegas,Spojené státy americké,,,,,,,,5ojhEavq6altxW8fWIlLum,
Peggy Gou,Q64158576,True,Peggy Gou,South Korean DJ and fashion designer,,člověk,,+1991-07-03T00:00:00Z,,+2014-00-00T00:00:00Z,,,,žena,Inčchon,Jižní Korea,['Jižní Korea'],,,['klavír'],,,,2mLA48B366zkELXYx7hcDN,
Pet Shop Boys,Q485625,True,Pet Shop Boys,British synth-pop duo,britská elektronická hudební skupina,hudební duo,"['synthpop', 'nová vlna', 'house music', 'elektronická taneční hudba', 'alternative dance', 'sophisti-pop', 'art pop']",,,+1982-00-00T00:00:00Z,,+1981-08-19T00:00:00Z,,,Londýn,Římská říše,,,,,['BRIT Awards'],,,2ycnb8Er79LoH2AsR5ldjh,
Eric Clapton,Q48187,True,Eric Clapton,"English guitarist, singer, and songwriter (born 1945)","kytarista, zpěvák a hudební skladatel",člověk,"['rock', 'blues', 'blues rock', 'psychedelický rock', 'jazz fusion', 'hard rock']",+1945-03-30T00:00:00Z,,+1962-00-00T00:00:00Z,,,,muž,Ripley,Spojené království,"['Spojené království', 'Spojené státy americké']",,,"['kytara', 'hlas', 'elektrická kytara']","['Rock and Roll Hall of Fame', 'komandér Řádu britského impéria', 'důstojník Řádu britského impéria', 'Cena Grammy za celoživotní dílo', 'Silver Clef Award']",,,6PAt558ZEZl0DmdXlnjMgD,
Enya,Q38257,True,Enya,Irish singer,"irská zpěvačka, skladatelka a klávesistka",člověk,"['New Age', 'keltská hudba']",+1961-05-17T00:00:00Z,,+1976-00-00T00:00:00Z,,,,žena,Gweedore,Irsko,['Irsko'],,['mezzosoprán'],"['klavír', 'hlas']",['Cena Echo Pop za hit roku'],,,6uothxMWeLWIhsGeF7cyo4,
Peter Cmorik,Q3509090,True,Peter Cmorik,Slovak singer,slovenský zpěvák,člověk,,+1980-03-22T00:00:00Z,,,,,,muž,Rožňava,Slovensko,['Slovensko'],,,['hlas'],,,,,
Petite Meller,Q20742885,True,Petite Meller,French singer and model,,člověk,['pop music'],+1994-07-14T00:00:00Z,,+2012-00-00T00:00:00Z,,,,žena,Paříž,Francie,['Francie'],,,['hlas'],,,,,
Petr Hapka,Q1348605,True,Petr Hapka,Czech composer and singer (1944–2014),"český hudební skladatel, zpěvák a dirigent",člověk,['populární hudba'],+1944-05-13T00:00:00Z,+2014-11-25T00:00:00Z,,,,,muž,Praha,Česko,"['Česko', 'Československo']",,,['hlas'],,,,,
Petr Janda,Q504840,True,Petr Janda,"Czech rock singer, guitarist, band leader","český rockový zpěvák, skladatel a kytarista",člověk,['rock'],+1942-05-02T00:00:00Z,,,,,,muž,Praha,Česko,['Česko'],,,,['Stříbrná medaile předsedy Senátu'],,,,
Petr Kalandra,Q3299446,True,Petr Kalandra,"Czech mouth organ player, guitarist and singer","český hráč na foukací harmoniku, kytarista a zpěvák",člověk,,+1950-03-10T00:00:00Z,+1995-09-07T00:00:00Z,,,,,muž,Praha,Česko,,,,,,,,,
Petr Nekoranec,Q79127300,True,Petr Nekoranec,opera singer,český operní tenorový zpěvák,člověk,,+1992-03-25T00:00:00Z,,,,,,muž,Nové Dvory,Česko,['Česko'],,['tenor'],,,,,,
Eva Olmerová,Q5415145,True,Eva Olmerová,Czech singer,česká šansoniérka,člověk,['jazz'],+1934-01-21T00:00:00Z,+1993-08-10T00:00:00Z,,,,,žena,Praha,Česko,['Česko'],,,['hlas'],,,,,
Paul Van Dyk,Q77034,True,Paul van Dyk,German DJ and trance music producer,německý DJ a producent,člověk,"['trance', 'techno', 'elektronická hudba']",+1971-12-16T00:00:00Z,,+1990-00-00T00:00:00Z,,,,muž,Eisenhüttenstadt,Německo,['Německo'],,,"['klávesy', 'DJ mixer', 'syntezátor']","['Řád za zásluhy Berlínu', 'Berlínský medvěd']",,,7wU1naftD3lNq7rNsiDvOR,
Originální Pražský Synkopický Orchestr,Q7102571,True,Original Prague Syncopated Orchestra,Czech jazz band,,hudební skupina,['jazz'],,,,,+1974-00-00T00:00:00Z,,,,,,,,,,,,,
