hitparada,rok,mesic,week,pozice,album,interpret,interpret_hlavni,vydavatel
CZ - ALBUMS - TOP 100,2018,11,,69,Best Of   +DVD,Lucie,Lucie,Universal Music
CZ - ALBUMS - TOP 100,2018,11,,70,love,Michael Bublé,Michael Bublé,Warner Music
CZ - ALBUMS - TOP 100,2018,11,,71,Greatest Hits II (2011 Remaster),Queen,Queen,Universal Music
CZ - ALBUMS - TOP 100,2018,11,,72,Akta X,Ty Nikdy,Ty Nikdy,Ty Nikdy/Warner Music
CZ - ALBUMS - TOP 100,2018,11,,73,Youngblood,5 Seconds Of Summer,5 Seconds Of Summer,Universal Music
CZ - ALBUMS - TOP 100,2018,11,,74,Intimity,Jitka Zelenková,Jitka Zelenková,Supraphon
CZ - ALBUMS - TOP 100,2018,11,,75,Zapomenutý příběh,Ondřej Ruml,Ondřej Ruml,Warner Music
CZ - ALBUMS - TOP 100,2018,11,,76,Love Songs,Chinaski,Chinaski,Universal Music
CZ - ALBUMS - TOP 100,2018,11,,77,Po půlnoci,Mandrage,Mandrage,Universal Music
CZ - ALBUMS - TOP 100,2018,11,,78,17,Xxxtentacion,Xxxtentacion,Bad Vibes Forever/Empire
CZ - ALBUMS - TOP 100,2018,11,,79,Walls,Barbra Streisand,Barbra Streisand,Sony Music
CZ - ALBUMS - TOP 100,2018,11,,80,Vlastní svět,Marek Ztracený,Marek Ztracený,Supraphon
CZ - ALBUMS - TOP 100,2018,11,,81,Delta,Mumford & Sons,Mumford,Universal Music
CZ - ALBUMS - TOP 100,2018,11,,82,Speak Your Mind (Deluxe),Anne-Marie,Anne-Marie,Warner Music
CZ - ALBUMS - TOP 100,2018,11,,83,Bílé vánoce,Karel Gott,Karel Gott,Supraphon
CZ - ALBUMS - TOP 100,2018,11,,84,Mar De Colores,Alvaro Soler,Alvaro Soler,Universal Music
CZ - ALBUMS - TOP 100,2018,11,,85,Světlo ve tmě,Jelen,Jelen,Singlton/Universal Music
CZ - ALBUMS - TOP 100,2018,11,,86,Nevermind (20th Anniversary Edition),Nirvana,Nirvana,Universal Music
CZ - ALBUMS - TOP 100,2018,11,,87,Čekej tiše,Eva Olmerová,Eva Olmerová,Supraphon
CZ - ALBUMS - TOP 100,2018,11,,88,Šípková Růženka,Rebels,Rebels,Supraphon
CZ - ALBUMS - TOP 100,2018,11,,89,100 nejznámějších dětských písniček,Různí,Různí,Supraphon
CZ - ALBUMS - TOP 100,2018,11,,90,One More Light,Linkin Park,Linkin Park,Warner Music
CZ - ALBUMS - TOP 100,2018,11,,91,Anthem Of The Peaceful Army,Greta Van Fleet,Greta Van Fleet,Universal Music
CZ - ALBUMS - TOP 100,2018,11,,92,Taneční liga 202,Různí,Různí,Universal Music
CZ - ALBUMS - TOP 100,2018,11,,93,This Is Acting,Sia,Sia,Sony Music
CZ - ALBUMS - TOP 100,2018,11,,94,Studna v poušti,Radůza,Radůza,Radůza Records
CZ - ALBUMS - TOP 100,2018,11,,95,Holomráz,Slza,Slza,Universal Music
CZ - ALBUMS - TOP 100,2018,11,,96,Vita Ce N'e,Eros Ramazzotti,Eros Ramazzotti,Universal Music
CZ - ALBUMS - TOP 100,2018,11,,97,Tulák po hvězdách,Progres 2,Progres 2,Bronz Records
CZ - ALBUMS - TOP 100,2018,11,,98,Pořád nás to baví,Rybičky 48,Rybičky 48,R48 Agency S.R.O.
CZ - ALBUMS - TOP 100,2018,11,,99,Best Fuck Off / Pořád nás to baví,Rybičky 48,Rybičky 48,Supraphon
CZ - ALBUMS - TOP 100,2018,11,,100,... And Justice For All,Metallica,Metallica,Universal Music
CZ - ALBUMS - TOP 100,2018,12,,1,Kryštof na Strahově (Live),Kryštof,Kryštof,I.Richmond.P./Universal Music
CZ - ALBUMS - TOP 100,2018,12,,2,EvoLucie,Lucie,Lucie,Brainzone
CZ - ALBUMS - TOP 100,2018,12,,3,Bohemian Rhapsody O.S.T.,Queen,Queen,Universal Music
CZ - ALBUMS - TOP 100,2018,12,,4,Krtek Money Life,Milion+,Milion+,Milion+ Ent./Universal Music
CZ - ALBUMS - TOP 100,2018,12,,5,Origins,Imagine Dragons,Imagine Dragons,Universal Music
CZ - ALBUMS - TOP 100,2018,12,,6,Effet Miroir,Zaz,Zaz,Warner Music
CZ - ALBUMS - TOP 100,2018,12,,7,Oppidum,Lenka Filipová,Lenka Filipová,Universal Music
CZ - ALBUMS - TOP 100,2018,12,,8,Greatest Hits (Remastered),Queen,Queen,Universal Music
CZ - ALBUMS - TOP 100,2018,12,,9,Má hra 1969-2018,Radim Hladík,Radim Hladík,Supraphon
CZ - ALBUMS - TOP 100,2018,12,,10,Růže,Lucie Vondráčková,Lucie Vondráčková,Sagl Production
CZ - ALBUMS - TOP 100,2018,12,,11,A Star Is Born,Lady Gaga & Bradley Cooper,Lady Gaga,Universal Music
CZ - ALBUMS - TOP 100,2018,12,,12,DANK,Paulie Garand & Kenny Rough,Paulie Garand,Ty Nikdy/Warner Music
CZ - ALBUMS - TOP 100,2018,12,,13,Heart To Mouth,Lp,Lp,Universal Music
CZ - ALBUMS - TOP 100,2018,12,,14,÷ (Divide),Ed Sheeran,Ed Sheeran,Warner Music
CZ - ALBUMS - TOP 100,2018,12,,15,Platinum Collection,Queen,Queen,Universal Music
CZ - ALBUMS - TOP 100,2018,12,,16,Svobodu ředkvičkám,Tři Sestry,Tři Sestry,Warner Music
CZ - ALBUMS - TOP 100,2018,12,,17,Spolu,Tomáš Klus,Tomáš Klus,Tomáš Klus / Supraphon
CZ - ALBUMS - TOP 100,2018,12,,18,Ta pravá,Karel Gott,Karel Gott,Supraphon
