,interpret_hlavni,track,youtube
19847,Jonas Kaufmann,,
19848,Never Sol,,
19869,Portless,,
19924,Pisařík Martin,,
20005,Imodium,,
20146,Rybičky 48,,
20243,Jana Rychterová,,
20331,Armstrong Billie Joe,,
20558,Krausberry,,
20579,Rakby,,
20641,Iced Earth,,
20666,Ennio Morricone,,
20678,Lorde,,
20681,Lisa Stansfield,,
20686,John Newman,,
20703,Kocáb,,
20713,Behemoth,,
20735,Hrubý Jan,,
20751,Jiří Šlitr,,
20768,Kafka Band,,
20827,Beck,,
20839,Ondrej Ďurica,,
20845,Jarmila Novotná,,
20886,Kali,,
20896,House Of Lords,,
20903,Pharrell Williams,,
20905,Jasná Páka,,
20937,Freedom Call,,
20997,Bastille,,
21000,Tomáš Klus,,http://www.youtube.com/watch?v=97m0GUptqW4
21017,Ivo Kahánek,,
21084,Michnová Zuzana,,
21102,Atmo Music,,
21147,Black Label Society,,
21187,Dymytry,,
21189,Holopainen Tuomas,,
21198,James Arthur,,
21199,Andrei Andrea,,
21224,Gotthard,,
21269,Damon Albarn,,
21284,Slobodná Europa,,
21288,Dio Ronnie James,,
21306,Anderson Ian,,
21320,Pixies,,
21352,Ondřej Brzobohatý,,http://www.youtube.com/watch?v=mHhJoxq0v54
21353,Lipo,,http://www.youtube.com/watch?v=OgyC-JiYAU4
21359,Michael Jackson,,http://www.youtube.com/watch?v=9uXHUq70Bl4
21364,Michal Hrůza,,http://www.youtube.com/watch?v=Cr7gT64eZGc
21365,Jana Koubková,,
21375,Lily Allen,,http://www.youtube.com/watch?v=pfACIxjsuu0
21398,Milky Chance,,http://www.youtube.com/watch?v=U30gw1Mlk-M
21403,Sabaton,,http://www.youtube.com/watch?v=Ndzj52FPgXo
21428,Santana,,http://www.youtube.com/watch?v=hskVL7OPX18
21429,Shepherd Kenny Wayne,,
21438,Bratři Orffové,,http://www.youtube.com/watch?v=j7ANsNdxmko
21450,Coldplay,,http://www.youtube.com/watch?v=1PvBc2TOpE4
21488,Různí,,http://www.youtube.com/watch?v=b6MEkI711Fk
21496,Epica,,http://www.youtube.com/watch?v=oePrtEMmX9Y
21608,Black Keys,,http://www.youtube.com/watch?v=iZZUY32iCzU
21619,Paulie Garand,,https://www.youtube.com/watch?v=oors1aqhU7A&list=PLWuZdZbp5kgoId4aALGE-Akt1PnxZ5628
21622,Voxel,,
21627,Jelen,,
21634,Vamps,,
21642,Dagmar Pecková,,
21650,Linkin Park,,https://www.youtube.com/watch?v=Nym1P-BO_ws
21651,Adam Mišík,,https://www.youtube.com/watch?v=yPvVODZlBtQ
21654,Lana Del Rey,,https://www.youtube.com/watch?v=LxYceZpTWaE
21701,Michael Kocáb,,
21769,Ed Sheeran,,
21780,Mastodon,,
21844,Abba,,http://www.youtube.com/watch?v=xtAyEE_qAr4
21863,5 Seconds Of Summer,,https://www.youtube.com/watch?v=R-OUJM-Mfd8
21889,Pavel Bobek,,https://www.youtube.com/results?search_query=pavel+bobek
21913,Guano Apes,,https://www.youtube.com/results?search_query=guano+APES
21920,Tiësto,,
21949,Deadmau5,,https://www.youtube.com/results?search_query=deadmau5
21961,Marta Kubišová,,http://www.youtube.com/results?search_query=kubi%C5%A1ov%C3%A1+marta
21980,Kasabian,,https://www.youtube.com/results?search_query=kasabian
22038,Braxton Toni,,
22044,Lykke Li,,http://www.youtube.com/watch?v=bJW4F5rh9q4
22107,Suvereno,,
22134,Uhlíř-Svěrák,,
22149,Mirek Tabák,,
22214,Grave Digger,,
22215,Indila,,
22220,Morrissey,,
22223,Sia,,
22333,George Ezra,,https://www.youtube.com/watch?v=VHrLPs3_1Fs
22344,Tom Petty,,
22473,"Crosby, Stills, Nash",,
22603,Wiz Khalifa,,
22736,Puss N Boots,,
22781,Dragonforce,,
22793,Ivan Hlas,,
22806,Ace Frehley,,
22833,Royal Blood,,
22847,Ohm Square,,
22897,Dežo Ursíny,,
22944,Maroon 5,,
23010,J.J.Ryba,,
23026,Guns'N'Roses,,
23061,Ivan Kral,,
23102,Matěj Ptaszek,,
23387,Exodus,,
23488,Amaranthe,,
23497,Marek Eben,,
23530,Sočr,,
23537,Ben Howard,,
23593,Black Veil Brides,,
23620,B-Side Band,,
23639,Billy Idol,,
23687,Kerndl Laďa,,
23720,Modern Talking,,
23747,Mathieu Mirelle,,
23786,Machine Head,,
23941,Emigrate,,
23991,New Element,,
24129,5Angels,,
24343,Bambini Di Praga,,
24526,Calvin Harris,,
24542,5 Seconds Of Summer,,
24603,Radek Baborák,,
24681,Elis,,
24703,Najponk,,
24782,Fall Out Boy,,
24821,Angra,,
24835,Marduk,,
24861,Blind Guardian,,
24944,Kiesza,,
24948,Meghan Trainor,,
24994,Sam Smith,,
25014,Iné Kafe,,
25030,Hozier,,
25118,Ne-Yo,,
25187,Efem,,
25267,Ufo,,
25271,Miroslav Paleček,,
25274,Dragoun Roman,,
25448,Czech Ensemble Baroque Choir,,
25479,Keks,,
25488,Tereza Černochová,,
25503,I.M.T.Smile,,
25519,John Lennon,,
25540,Marcus Miller,,
25559,Toto,,
25625,Steve Seasick,,
25683,Steve Hackett,,
25716,Hollywood Undead,,
25740,Cohen Avishai,,
25788,Van Morrison,,
25816,Charli Xcx,,
25869,Beth Hart,,
25974,Josef Špaček,,
25992,Tichá Dohoda,,
26041,Kendrick Lamar,,
26061,Blur,,
26084,Láďa Kerndl,,
26146,Frank Sinatra,,
26248,Yelawolf,,
26307,Zdeněk Bína,,
26351,Faith No More,,
26359,Abraxas,,
26379,Martin Gore,,
26398,Lindsey Stirling,,
26463,White Snake,,
26529,Eviyan,,
26542,Sirenia,,
26549,Florence,,
26571,Wabi Ryvola,,
26574,Pavel Callta,,
26577,Karel Šíp,,
26587,Melody Gardot,,
26597,Hop Trop,,
26611,Simply Red,,
26614,Cassandra Wilson,,
26648,Dire Strait,,
26696,České Srdce,,
26793,Brian Blade,,
26806,Banket,,
26845,Joe Karafiát,,
26849,Of Monsters And Men,,
26911,Kaiser Chiefs,,
26920,Květy,,
26955,Lindemann,,
27034,Adam Ďurica,,
27311,Alice Cooper,,
27325,Willie Nelson,,
27361,Lee Ritenour,,
27362,Roger Waters,,
27505,Years,,
27520,Medvěd 009,,
27579,Škampovo Kvarteto,,
27703,Kocman Petr,,
27708,Stamicovo Kvarteto,,
27815,Disturbed,,
27833,Dr. Dre,,
27870,Buddy Guy,,
27907,Alesso,,
27915,Ivan Moravec,,
27999,Dire Straits,,
28026,Vašo Patejdl,,
28061,Bring Me The Horizon,,
28063,Hollywood Vampires,,
28075,United5,,
28114,Bárta Jiří,,
28124,The Weeknd,,
28155,Keith Richards,,
28172,Tomáš Linka,,
28185,Janková,,
28191,Shinedown,,
28208,Robin Schulz,,
28213,Carly Rae Jepsen,,
28224,Vilém Veverka,,
28264,Henley Don,,
28273,Chvrches,,
28289,Leonard Bernstein,,
28295,Mckennitt Loreena,,
28321,Dead Weather,,
28333,Disclosure,,
28360,Mirek Hoffmann,,
28363,Martha,,
28460,Pražský Komorní Orchestr,,
28472,New Order,,
28479,Janet Jackson,,
28482,Children Of Bodom,,
28486,W.A.S.P.,,
28490,Jennifer Rush,,
28522,Vidiek,,
28630,O5,,
28656,Dave Gahan,,
28658,Ondřej Brzobohatý,,
28778,Bonnie Tyler,,
28833,Mirai,,
28890,Mylene Farmer,,
28905,Marina And The Diamonds,,
28950,Slza,,
28975,Kurt Cobain,,
28981,E.L.O.,,
29011,André Rieu,,
29026,Karel Hašler,,
29050,Adele,,https://www.youtube.com/watch?v=YQHsXMglC9A&list=PLD7SPvDoEddb7FEU8xQR5QhrsSjmS0FvE
29060,Barbora Poláková,,
29199,Klara,,
29211,Vašo Patejdl,,https://www.youtube.com/playlist?list=OLAK5uy_lyhL_S9-mmvi0rN_xURtU-ESyzug8CqRg
29220,Corrs,,
29223,Adam Plachetka,,
29402,Jan Smigmator,,
29471,Emma Drobná,,
29621,Debustrol,,
29624,Chapman Tracy,,
29735,Troye Sivan,,
29768,Billy Gibbons,,
29864,Suede,,
29920,Tori Kelly,,
29924,Axel Rudi Pell,,
29944,Sabina Křováková,,
29947,Twenty One Pilots,,
29964,Primal Fear,,
30082,Charlie Puth,,
30144,Gregorian,,
30198,Beata Hlavenková,,
30266,Schola Gregoriana Pragensis,,
30316,Ronan Keating,,
30379,The 1975,,
30442,Macklemore,,
30456,Laura,,
30485,Progres,,
30499,Alice,,
30581,Tanita Tikaram,,
30582,Všichni Svatí,,
30649,Richie Lionel,,
30653,Timudej,,
30669,Cafe Del Mar,,
30725,Emma Smetana,,
30733,Primal Scream,,
30747,Ludovico Einaudi,,
