,hitparada,rok,mesic,pozice,album,interpret,interpret_hlavni,vydavatel
6,CZ - ALBUMS CLASSICAL - TOP 10,2019,3,7,"Symfonie č. 9 Novosvětská, Te Deum",Čf/neumann,Čf,Supraphon
7,CZ - ALBUMS CLASSICAL - TOP 10,2019,3,8,"Chopin - Sonáta h moll, Scherza",Ivo Kahánek,Ivo Kahánek,Supraphon
8,CZ - ALBUMS CLASSICAL - TOP 10,2019,3,9,Hornové koncerty,Radek Baborák,Radek Baborák,Supraphon
9,CZ - ALBUMS CLASSICAL - TOP 10,2019,3,10,Bach - Cello suites 1-6,Bárta Jiří/j.s.bach,Bárta Jiří,Supraphon
0,CZ - ALBUMS CLASSICAL - TOP 10,2019,4,1,Hej Romale,Čhavorenge & Ida Kelarová & Čf& M. Ivanovič,Čhavorenge,Supraphon
1,CZ - ALBUMS CLASSICAL - TOP 10,2019,4,2,Má vlast - Bedřich Smetana,Pkf/jakub Hrůša,Pkf,Supraphon
2,CZ - ALBUMS CLASSICAL - TOP 10,2019,4,3,Dvořák: Symfonie č. 9 e moll - Z Nového světa,Čf/neumann,Čf,Supraphon
3,CZ - ALBUMS CLASSICAL - TOP 10,2019,4,4,Kalabis: Kompletní dílo pro klavír,Ivo Kahánek,Ivo Kahánek,Supraphon
4,CZ - ALBUMS CLASSICAL - TOP 10,2019,4,5,"Zemlinsky, Rachmaninov, Arensky: Klavírní tria",Smetanovo Trio,Smetanovo Trio,Supraphon
5,CZ - ALBUMS CLASSICAL - TOP 10,2019,4,6,Adam Plachetka: Impossible Dream,Sočr/netopil,Sočr,Čro
6,CZ - ALBUMS CLASSICAL - TOP 10,2019,4,7,Smetana - Má vlast,Čf/neumann,Čf,Supraphon
7,CZ - ALBUMS CLASSICAL - TOP 10,2019,4,8,Meditace & relaxace s klasickou hudbou,Různí,Různí,Supraphon
8,CZ - ALBUMS CLASSICAL - TOP 10,2019,4,9,Let There Be Cello,2cellos,2cellos,Sony Music
9,CZ - ALBUMS CLASSICAL - TOP 10,2019,4,10,L. Janáček - Smyčcový kvartet č. 1,Pavel Haas Quartet,Pavel Haas Quartet,Supraphon
0,CZ - ALBUMS CLASSICAL - TOP 10,2019,5,1,Bach: Goldbergovské variace,Arundo Quartet,Arundo Quartet,Supraphon
1,CZ - ALBUMS CLASSICAL - TOP 10,2019,5,2,Il giardino dei sospiri,Magdalena Kožená,Magdalena Kožená,Pentatone
2,CZ - ALBUMS CLASSICAL - TOP 10,2019,5,3,Má vlast,Čf/kubelík,Čf,Supraphon
3,CZ - ALBUMS CLASSICAL - TOP 10,2019,5,4,Smetana - Má vlast,Čf/neumann,Čf,Supraphon
4,CZ - ALBUMS CLASSICAL - TOP 10,2019,5,5,Romantic Moments II,André Rieu,André Rieu,Universal Music
5,CZ - ALBUMS CLASSICAL - TOP 10,2019,5,6,Ullmann - Krása - Schulhoff - Haas,Bennewitzovo Kvarteto,Bennewitzovo Kvarteto,Supraphon
6,CZ - ALBUMS CLASSICAL - TOP 10,2019,5,7,Dvořák: Symfonie č. 9 e moll - Z Nového světa,Čf/neumann,Čf,Supraphon
